Operator_ID,Produced_Qty,Good_Qty,Rejected_Qty,Downtime_Hours,Average_Efficiency,Average_Defect_Rate
E001,3070559,2930751,139808,2669.63,93.95185790725327,4.588843638525565
E002,3116980,2973981,142999,2738.5,93.99664201183433,4.613257396449704
E003,2944671,2812498,132173,2667.53,93.98865047648326,4.511100522594528
E004,2995778,2858977,136801,2633.92,93.90817272727271,4.598018181818182
E005,3068715,2924617,144098,2674.63,94.05624372971377,4.643564473295958
E006,2960985,2823646,137339,2577.63,93.72566502463054,4.608226600985222
E007,3138913,2994008,144905,2758.56,93.86492375366569,4.591651026392962
E008,3096701,2955534,141167,2736.13,93.96447267355983,4.5605612998522895
E009,3203139,3055467,147672,2780.21,93.97278290993071,4.595210739030023
E010,3039529,2897776,141753,2632.43,94.10398618203665,4.681450886151997
E011,3035772,2896169,139603,2662.67,93.79895129967136,4.602491783686884
E012,3043148,2902638,140510,2677.96,93.92284104389087,4.580533807829181
E013,3001327,2864827,136500,2651.0,93.77253708749622,4.58920072661217
E014,3027807,2890764,137043,2668.17,93.7484861278649,4.561537997587455
E015,3012259,2871924,140335,2665.86,94.04301415236374,4.631713339355616
E016,2998847,2860116,138731,2611.17,93.91486741846998,4.627994513867724
E017,3147607,3002051,145556,2700.43,93.98733117074609,4.626316720731348
E018,3063408,2922651,140757,2623.42,93.92165653495441,4.612227963525836
E019,2976232,2841018,135214,2631.56,93.87680805614892,4.583942630454684
E020,2949948,2815732,134216,2580.8,93.81952410006102,4.578917022574741
E021,3049773,2909269,140504,2692.16,93.92122016706443,4.582001789976134
E022,3121632,2977336,144296,2747.28,93.95782863849766,4.651428990610329
E023,2973690,2839626,134064,2625.56,93.80892651950408,4.531140006047777
E024,3069661,2927294,142367,2631.97,93.86876279349791,4.632396146899458
E025,2971653,2835300,136353,2612.61,93.88135061802834,4.612523364485981
E026,3092088,2951657,140431,2647.9,93.9500449910018,4.5619946010797845
E027,2989689,2852398,137291,2583.23,93.96731888544892,4.550631578947368
E028,3090570,2948595,141975,2653.85,94.04317138599106,4.602447093889716
E029,3074364,2932270,142094,2676.15,94.03488602279543,4.640656868626275
E030,3052647,2910822,141825,2704.62,93.96669458570146,4.644397247980855
